"","AACT1","AACT2","CMK","DPPS1","DPPS2","DPPS3","DXPS1","DXPS2(cla1)","DXPS3","DXR","FPPS1","FPPS2","GGPPS1mt","GGPPS2","GGPPS3","GGPPS4","GGPPS5","GGPPS6","GGPPS8","GGPPS9","GGPPS10","GGPPS11","GGPPS12","GPPS","HDR","HDS","HMGR1","HMGR2","HMGS","IPPI1","IPPI2","MCT","MECPS","MK","MPDC1","MPDC2","PPDS1","PPDS2mt","UPPS1"
"c81",1141.2,1281.4,914.8,43.6,3489.6,33.7,80.8,22592.3,580.3,2251.7,171.8,1287.6,64.4,11,48.9,13.9,87.6,14.8,11.6,10.1,16,1761.5,1154.7,1827.4,17520.3,6906.3,21246.6,513,617.9,3317.4,338.7,394.2,2800.6,599.4,1016.1,171.2,3782.9,3775.1,597
"c82",750.1,1374.9,1307.6,253.2,2205.3,17.8,202.4,19447.4,807,4138.8,236.3,1893.2,105.9,32.6,14.7,12.9,10.9,56.6,26.8,8.9,42.2,1275.6,886.9,1603.9,17959.7,10411.3,14832.2,326.8,1007.3,4764,328.1,600.7,4364.6,1004.2,1202.6,36.9,4316.3,2095.2,365.1
"c83",869,1626.6,871.8,241.3,2963.6,21.8,148.8,17462.4,631.9,4024.1,301.4,1911.4,99.6,7.2,22,15.4,46.2,15.6,26.2,2.6,47.1,1601.7,891.4,1708,19119.1,10045.4,16006.4,428,1204.1,5235.5,555.6,514.7,3735.1,745.3,1149,140.9,4221.2,1960.2,491.9
"c84",2018,4059.9,1029,44.7,2172.4,12.2,117.3,18159.5,480.4,2161.6,234.3,1742,175.4,64,3.1,20.4,36,59.6,37.9,59.6,25.3,1445.5,900.2,1844.9,22487.2,8579.7,24523.9,553.7,892.3,5070,374.5,718.7,3100.7,729.5,1189.9,150,2626.6,2890.3,814.8
"c85",1549.6,2354,764.1,78.7,4524.1,80.9,19.8,18294.6,448.1,1529.2,206.9,995.9,23.9,60.3,76.4,53.2,115.4,9.4,10.3,76,34.6,1679.1,768.9,2143.1,18862.9,5549.8,21056.9,445.5,1119.2,3722.6,448,601.2,3156.4,445.5,862.6,19.6,2785.4,2326.2,735.8
"c86",1106.1,1557.5,1350.1,86.6,5231,117.9,16.9,16300.6,488.5,2867,387.3,1236.8,99.5,43,2.8,62.8,14.6,14.3,23.9,20.1,25.5,1978.2,760.1,1914.4,20622,7868,18407.5,429.3,936.6,4114.4,353.9,666.8,3798,620.7,842.1,135.7,4179,3750.9,462.6
"c87",1251.6,1631.9,898.2,137.4,3742.9,4.1,12.2,13779.9,491.3,1372.4,55.1,714,164.4,95.7,39.8,38.4,48.8,12.2,6.5,5.8,56.9,1346.7,663.2,2111.6,19198.2,4444.6,18133.6,445.8,1133.3,2901.4,299,466.7,2633.1,522.6,907.6,30.3,3067.5,2644.2,598.3
"c88",1748.3,1912.8,905.9,108.8,3912.8,16.4,24.2,27322.5,548.7,2717.1,183.6,1788,39,53.3,25.2,17.9,113.3,95.7,14.5,11.7,54.9,1875.5,983.1,1461.8,17307.4,7139.4,21782,607.5,882.5,4015.5,398.7,506.2,2403.9,794.5,1351.5,152.1,3215.3,2603.6,644.4
"c89",787.8,1583.6,896.4,92.4,2864.6,11.3,80.3,23539.1,674.7,4186.7,470.2,2413,117.7,47.3,7.7,12.1,34,103.5,5.1,34.4,22.7,1810.3,1301.2,1678.9,19265.5,10871.2,14241.6,459.3,1296.2,5526.6,490.6,601.5,3818.1,785.2,1257.3,351.9,4390.9,3143,442.6
"c90",1289,1785.6,968.9,74.6,4995.9,32.1,29.9,24518.1,512.5,2558.4,263.1,1656.5,196.9,10.2,77.2,8.8,87.5,100.7,4.3,8,75.3,1475.4,910.9,1525.3,18081.2,6224.7,18479.4,525.5,800.3,4215.7,298.9,545.6,3089.1,989.5,1348.1,21.2,3141.3,2487.8,579.2
"c91",1358,983.3,952.7,93.8,4535.5,6,114,19522,431.6,1868,265.7,1216.9,116.1,99.7,67.4,17.3,13.5,48.7,6.7,53.4,24.9,1531.1,1007.7,1888.6,18013.8,4618.9,14307.5,445.9,891.3,3271.6,502.2,452.6,2040.5,614.1,941.9,44.5,3418.9,2891.1,765.1
"c92",1137.7,974.6,998,133.9,4932.2,52.2,89.6,23965.1,379.6,2381.6,143.8,1276.5,235.4,181.8,51.4,12.5,75.4,8.3,8.1,4.5,17.9,1887.4,980.8,1794.4,20244.8,5856.3,14303.3,497.8,682.5,3273.4,436.5,671.8,2999.1,475.6,917,86.5,3865.1,3739.6,602
"c93",662.9,1064.6,1639,51.7,295,7.5,56.4,19258.5,564,6486.6,584.2,1659.4,34.2,54.2,24.1,11.8,54.2,46.2,3.4,13.7,20.9,2165.3,3024.3,1051.7,8411.5,13556.5,6044.8,296.5,1129.8,2447.9,451.8,2039.2,5107.5,400.7,890.1,207.8,876.8,840.1,350.5
"c94",648.5,1656.1,1076.1,175.5,1027.3,17.1,115.9,13489.7,677.1,6004.9,799.7,2609,113,60.5,15.7,93.7,44.1,54.7,22.4,11,7,2475.2,1830.5,1519.9,8373.3,9219.5,6379.7,708.3,1755.5,3939.3,587.1,1267.2,4099.1,798.9,1461.4,620.5,2104,780.5,319.9
"c95",691.2,2353.3,1351.6,97,546,16.3,37.1,15476.3,719.9,7265,1111.9,2995.4,17.3,95.7,57.9,12.5,4.5,174.8,20.9,56.2,17.9,2758,1763.2,1466.5,8776.2,10488.6,8755.1,668.4,2418.3,4349.4,688.2,1327.5,5073.7,1113.9,1704.8,754.2,1979.6,610.3,260.8
"c96",653.5,1990.3,1355.9,76.9,7226.1,7.5,77.8,13102.9,587.4,5164.9,738.3,2171.7,61,3.3,1.6,19.7,24.7,61.4,3.9,8.6,6.2,2135.3,2400.5,1718.9,14894.7,10179,7471.5,306,1020.2,2668.5,397.1,1682.1,4432.6,666.7,1217.7,388.7,3488,2503.7,258.1
"c97",1058,2573.3,1219.4,101.9,2707,56.5,30.4,18224.2,636.7,5667,633.6,3312.5,135.8,35.3,23.1,67.5,6.8,137.9,25.9,22.2,26.3,1917.3,1773.3,1200.8,14095.9,8085.9,16945.5,612,1646.6,4453.1,635.8,1497.5,4186.5,1161.3,1399.5,416.4,2525.6,1426.2,380.4
"c98",584,2655.4,1368.5,96.8,2380.1,132.8,16.8,9060,532.2,6157,834.1,2821,82.5,16.3,69.9,59.5,42.3,182.9,19.6,5,10.5,2020.3,2223.5,1745.8,12068.7,8397,8796.1,490.5,1016.9,5046.6,1059.7,2089.4,4426.4,707.9,1370.3,589.4,2807.5,1539.7,466
"c99",781.1,1171.8,1860.6,48.9,1424.1,15.8,78.9,18149.4,781.3,7870.1,465,1508.1,29.7,14.7,13.7,75.4,4.7,11,7.5,25.1,8,2678,4114,1146.7,12863.2,14832.8,5642.7,310.2,1659.3,3001.5,539.1,1808.2,6994.1,277.1,1228.7,252.3,1685.7,1157.5,359.9
"c100",485.2,898.2,940.8,106.4,1045.2,6.7,69.1,16563,569.1,4810.2,366.5,892.2,12.8,3.9,58.2,12.5,103.4,8.5,14.1,7.4,39.2,1980,5209.5,1011.4,9810.8,14517.7,6395.6,356,924.7,2629.5,552.4,748.1,5460.6,302.4,812.1,124.4,1010.4,889,500.3
"c101",591,1185,1904.5,100.4,1537,8.3,86.6,17644.9,663.2,8976.2,328,1570.6,166,12.9,2.7,6.8,75.9,3.5,3.8,26.7,40,1786.7,3642.9,1066.2,12784.2,13550.6,4595,340.5,1902.1,3293.1,766.2,2311.4,6603.3,436.2,903.1,275.9,2017.8,1141.4,315
"c102",945,2328.7,1268.3,178.1,11932.5,69,66.6,15776.3,756.9,5391.6,719.2,3181.4,83.8,21,11.1,27.3,5.3,117.3,27.5,5.7,9.5,2245.6,1136,2109.8,18926.3,10353.6,15388,499.8,1549.2,4796.9,481.3,1352.9,4305.8,910.7,1626.8,327.9,6555.7,5991.4,320.6
"c103",507.2,2250.9,1298.3,143.4,676.6,17.7,149.9,12772.9,873.8,7757.4,872.2,4357.2,61.7,40.7,88.8,15.2,37.9,150.9,65.1,13.3,8.5,2390.6,1325,1703,9853.4,9254.4,6464.5,563.5,2346.7,3878.4,893.3,1346.2,4558.8,929.1,1893.7,698.7,2429,908,288.4
"c104",624.1,1607.3,1360.8,190.6,826.3,95,116,10899.2,628.3,4916.4,767.3,2428.1,160.1,20.4,5.7,95.5,9.1,102,4.2,10.1,19.3,2099.1,1391.9,2036.7,7654.2,7485.8,5521.2,555.9,2124.8,3721.6,832.7,1392.1,3943.2,960.4,1613.6,664.9,1985,620.3,325.3
"c105",825.7,1007.2,1189.2,16.2,11623,18,56.2,10682.1,666.5,4797.4,322.8,1102.5,51.5,85.7,27.5,6.7,48.9,36.7,5.7,15.5,30.7,2586.5,3908.7,1443.2,14972,13210.7,6331.4,295.6,396.1,2213.8,333.1,574,4439.3,240.4,737,229.4,4843,4447.8,386
"c106",1196.2,2673.7,1509,159.4,2944.2,11,72,18650.3,737.2,6575.3,808.8,3221.4,33.5,86.1,21.5,6.4,56,188.5,22.1,35.9,42.6,1914.4,1802.9,1357.4,15874.3,9215.1,13377.3,506.3,1810.4,4274.5,566.8,1742.8,4132.4,1322.8,1562.7,512,2685.3,1593.5,429.4
"c107",499.6,2248.6,1046.2,188.5,2355.1,105.6,24.4,8870.1,850.8,6609.5,580.7,2029,178.8,8.7,68.1,16.6,87.9,168.9,18.8,16.6,112.2,1627.7,1614.7,1603.9,11693.7,7871.1,8752.6,465.7,1005.1,3999.3,765.8,1724.7,4217.2,650.1,1568.4,783.3,3273.5,1886.6,465.8
"c108",750.2,1495.4,1457.8,47.5,648.4,8.3,66.6,14824.7,503.3,6251.8,722.1,1505.3,22.7,29.5,29.3,90,8.2,4.9,3.6,3.1,18.7,1824.1,3003.3,853.4,10046.8,10322.9,5747.9,339.5,1730.2,2506,745.4,1916.7,4874.9,424.6,852.9,238.7,1170.3,1136,398
"c109",384.8,742.9,1176.7,121.3,1948.3,11.8,18.8,11301.7,605.4,5753.9,180.3,673.5,7.1,23.6,18.6,77,9.6,11.4,5.1,13.2,13.9,2049.6,4720.2,1228.9,12527.9,13376.1,3532.8,368.1,1343.3,2751.4,588.8,588.4,6416.7,196.9,432.1,103.5,1625.3,1215.9,625.8
"c110",1123.6,2315,1218.2,137.5,9939,9.8,93.1,17485.7,653.4,4091.9,615.9,3102.7,142.8,39.1,10.9,7.9,25.1,143.1,7.6,4.9,20.9,2350.6,1447.9,1865.3,19032.2,8796.1,16109.6,562.7,1418.4,3692.4,522.7,1581.7,4014.3,1015.8,1411.6,332.4,5987.4,5081.5,275
"c111",740.5,1451.5,1655.4,67.9,6822.9,10,185,19808.3,658.2,6359.3,398.8,1970.8,35.2,18.4,6.5,11.7,84.3,10.5,60.3,30.2,69.2,2582.3,3389.6,1617.9,15073.1,15358.6,7531.7,399.6,708.3,2985.3,298.1,2168.2,6156.8,660.5,829.7,202.3,6523.2,3938.1,354.8
"c112",725.1,1379,1215.3,79.1,1523.9,3.4,35.4,18867.6,711.5,6881.6,591.3,1632.1,18.7,20.4,13.6,12.7,47.6,5,3,10.4,18.4,2006.2,3944.7,1076.9,14643.5,13554.7,7210.4,313.8,1872.8,2864,616.1,1801.4,5582.3,296.5,1099,340.2,1717.8,1128,312.1
"c113",616.9,671.6,1047.9,53.2,770,13.4,167.1,11260.5,582.2,4278.6,368.5,688.5,68,14.9,2.3,9,70.3,20,12.4,10,96.4,1842.1,4598,1249.2,9700.2,14952.9,5165.5,305.9,964.4,2579.2,366.6,842.6,5947.2,24.1,747,162.7,1159.7,1197.1,698.2
"c114",631.1,1577.8,1272.4,30.3,5131.8,36.8,8.9,10639.1,508.7,5527.4,789.9,2494.2,150.1,58.4,4.9,11.6,51.2,32.7,5.9,20.2,17.2,2073.8,2709.9,1590.8,11814.9,8021.9,5182.1,411.9,1268.1,2634.9,761.7,1780.7,4914.4,718.7,1064.9,604.3,2423.4,2195,211.8
"c115",310.4,1341.9,1823.1,120.6,1450.5,17.7,26.3,25596.9,786.3,8885.4,355.9,1772.8,15.6,7.2,6.1,17.4,48.4,3.9,15.1,6.8,22.3,1876.8,3689,896.1,15500.6,13287.9,5742.3,399.8,1846.1,3461.7,525.8,1959.6,7062,489.8,843.7,142,1287.7,913.2,393.6
"c116",677.2,1040.6,1228.8,7.6,656.3,7.1,96.2,15660,637.6,5096.7,508.4,1344.2,100.9,33.8,11.4,32.1,8.6,30.6,4.7,3.9,24.5,1878.4,3150.1,1005.7,8885.5,12616.2,6705.2,368,1388.6,2610.9,626.5,1468.2,5983.4,453.4,838.1,319.2,1140.9,1001.9,411.6
"c117",611,1015.6,1666.5,133.7,10262,14.2,12.5,13585.7,644.3,6646.6,382.4,1544.4,10.4,38.3,25.3,20.2,47.6,18.6,9.2,11.4,26,2603.5,3656.8,1815.9,13752.5,10811.1,5543.8,335.3,800.2,2951.7,557.8,1457.3,4988.1,406.2,768.7,259.3,4884.7,3689.9,261.2
"c118",407,811.7,1472.9,75.7,998.3,12.6,22.4,16149.7,642.6,5983.1,485.5,1304.9,93.1,26.2,10.4,74.9,10.9,10.9,4.8,15,139.8,2320.5,4523.2,886.8,12499.6,12762.3,5363.7,321,1595.6,2424.1,569.8,1255.1,6443.3,355.1,780.1,26.7,1166.9,1172.1,466.1
